Date, Open, High, Low, Close, Volume
05/24/23, 491536, 494039, 484394, 486545, 5968
05/23/23, 499999, 502200, 490950, 491980, 6082
05/22/23, 506673, 509654, 500697, 501149, 9705
05/19/23, 505890, 511335, 503905, 507161, 6396
05/18/23, 502450, 505420, 498125, 504360, 5877
05/17/23, 498176, 503000, 494787, 500600, 5997
05/16/23, 493583, 499999, 490756, 498620, 6630
05/15/23, 492844, 497580, 489001, 495900, 7342
05/12/23, 494997, 497781, 488991, 491183, 5145
05/11/23, 489430, 493000, 487000, 493000, 5011
05/10/23, 500010, 502278, 488675, 492000, 6007
05/09/23, 495001, 499000, 492495, 499000, 5150
05/08/23, 497248, 502055, 495500, 497000, 7212
05/05/23, 494407, 497080, 490000, 491840, 5745
05/04/23, 490456, 497864, 486821, 489540, 5122
05/03/23, 496237, 498452, 488606, 488606, 5157
05/02/23, 503408, 505320, 492584, 494100, 5688
05/01/23, 502856, 506000, 501485, 503400, 7428
04/28/23, 497818, 503000, 495916, 502880, 5444
04/27/23, 497200, 500000, 492072, 499700, 4720
04/26/23, 496824, 499999, 490350, 491500, 4809
04/25/23, 495901, 499975, 494619, 495112, 4904
04/24/23, 496363, 500279, 494659, 498250, 6092
04/21/23, 495307, 499079, 492891, 496405, 4826
04/20/23, 492897, 497371, 488221, 496300, 4582
04/19/23, 497800, 497800, 491590, 494948, 4598
04/18/23, 492571, 505949, 492571, 496200, 4982
04/17/23, 485731, 503735, 485731, 497900, 6724
04/14/23, 493920, 500001, 489776, 496000, 5815
04/13/23, 483904, 500000, 481321, 490760, 5510
04/12/23, 484184, 486980, 482018, 483500, 5142
04/11/23, 476618, 483720, 474227, 480800, 4744
04/10/23, 474804, 485000, 471706, 476500, 7207
04/06/23, 473479, 478581, 467601, 478005, 5095
04/05/23, 467140, 472000, 464694, 471500, 5097
04/04/23, 472053, 472053, 464855, 467660, 4345
04/03/23, 468875, 471770, 465570, 469760, 6533
03/31/23, 462416, 466805, 461434, 465600, 4392
03/30/23, 468030, 468030, 457562, 461780, 4249
03/29/23, 461814, 463605, 459979, 462100, 4010
03/28/23, 458031, 459443, 456117, 459000, 3899
03/27/23, 456217, 460931, 453852, 457820, 5538
03/24/23, 448612, 455820, 445886, 453066, 4488
03/23/23, 457527, 459924, 449950, 452750, 4346
03/22/23, 461085, 465552, 454713, 455660, 4188
03/21/23, 462471, 463855, 458600, 460515, 4486
03/20/23, 446749, 456840, 444894, 455917, 6047
03/17/23, 453739, 455608, 442364, 442765, 5263
03/16/23, 447520, 458758, 445695, 455350, 5114
03/15/23, 455001, 456730, 446275, 448671, 5182
03/14/23, 464928, 465670, 457000, 461805, 4085
03/13/23, 457112, 464055, 455250, 458050, 6042
03/10/23, 460775, 464750, 457232, 460462, 4537
03/09/23, 471004, 474834, 460924, 461030, 4167
03/08/23, 471518, 474129, 468800, 472002, 4025
03/07/23, 479733, 481824, 470255, 471500, 4412
03/06/23, 476182, 480945, 472486, 480215, 6258
03/03/23, 469298, 473428, 467448, 473256, 4528
03/02/23, 461965, 467007, 457179, 466790, 3994
03/01/23, 460829, 463618, 458442, 462435, 4214
02/28/23, 462524, 464530, 459970, 463525, 4046
02/27/23, 462910, 463950, 458090, 461912, 6501
02/24/23, 456300, 464013, 454955, 461705, 4640
02/23/23, 463105, 463830, 455628, 459375, 4087
02/22/23, 459153, 463635, 457927, 460012, 4088
02/21/23, 464947, 466575, 455290, 458495, 6410
02/17/23, 473104, 473104, 462482, 467373, 4014
02/16/23, 466586, 470625, 465037, 467295, 3793
02/15/23, 473091, 473091, 467800, 469045, 4328
02/14/23, 478387, 478387, 470145, 472500, 3893
