Date, Open, High, Low, Close
05/23/23, 1411.54, 1411.54, 1411.54, 1411.54
05/22/23, 1419.00, 1419.00, 1419.00, 1419.00
05/19/23, 1428.54, 1428.54, 1428.54, 1428.54
05/18/23, 1428.04, 1428.04, 1428.04, 1428.04
05/17/23, 1424.34, 1424.34, 1424.34, 1424.34
05/16/23, 1423.50, 1423.50, 1423.50, 1423.50
05/15/23, 1417.37, 1417.37, 1417.37, 1417.37
05/12/23, 1422.92, 1422.92, 1422.92, 1422.92
05/11/23, 1425.18, 1425.18, 1425.18, 1425.18
05/10/23, 1425.68, 1425.68, 1425.68, 1425.68
05/09/23, 1432.63, 1432.63, 1432.63, 1432.63
05/08/23, 1433.74, 1433.74, 1433.74, 1433.74
05/05/23, 1431.04, 1431.04, 1431.04, 1431.04
05/03/23, 1425.99, 1425.99, 1425.99, 1425.99
05/02/23, 1426.11, 1426.11, 1426.11, 1426.11
04/28/23, 1415.95, 1415.95, 1415.95, 1415.95
04/27/23, 1418.05, 1418.05, 1418.05, 1418.05
04/26/23, 1414.25, 1414.25, 1414.25, 1414.25
04/25/23, 1425.19, 1425.19, 1425.19, 1425.19
04/20/23, 1422.11, 1422.11, 1422.11, 1422.11
04/19/23, 1425.07, 1425.07, 1425.07, 1425.07
04/18/23, 1432.36, 1432.36, 1432.36, 1432.36
04/17/23, 1434.90, 1434.90, 1434.90, 1434.90
04/14/23, 1435.13, 1435.13, 1435.13, 1435.13
04/13/23, 1434.22, 1434.22, 1434.22, 1434.22
04/12/23, 1434.74, 1434.74, 1434.74, 1434.74
04/11/23, 1435.89, 1435.89, 1435.89, 1435.89
04/10/23, 1428.13, 1428.13, 1428.13, 1428.13
04/07/23, 1427.04, 1427.04, 1427.04, 1427.04
04/06/23, 1424.89, 1424.89, 1424.89, 1424.89
04/05/23, 1429.55, 1429.55, 1429.55, 1429.55
04/04/23, 1429.61, 1429.61, 1429.61, 1429.61
04/03/23, 1433.39, 1433.39, 1433.39, 1433.39
03/31/23, 1422.59, 1422.59, 1422.59, 1422.59
03/30/23, 1424.61, 1424.61, 1424.61, 1424.61
03/29/23, 1420.35, 1420.35, 1420.35, 1420.35
03/28/23, 1409.09, 1409.09, 1409.09, 1409.09
03/27/23, 1396.60, 1396.60, 1396.60, 1396.60
03/24/23, 1399.70, 1399.70, 1399.70, 1399.70
03/23/23, 1410.98, 1410.98, 1410.98, 1410.98
03/22/23, 1412.04, 1412.04, 1412.04, 1412.04
03/21/23, 1406.55, 1406.55, 1406.55, 1406.55
03/20/23, 1401.81, 1401.81, 1401.81, 1401.81
03/17/23, 1411.73, 1411.73, 1411.73, 1411.73
03/16/23, 1391.60, 1391.60, 1391.60, 1391.60
03/15/23, 1403.93, 1403.93, 1403.93, 1403.93
03/14/23, 1393.83, 1393.83, 1393.83, 1393.83
03/13/23, 1421.83, 1421.83, 1421.83, 1421.83
03/10/23, 1433.08, 1433.08, 1433.08, 1433.08
03/09/23, 1449.53, 1449.53, 1449.53, 1449.53
03/08/23, 1454.66, 1454.66, 1454.66, 1454.66
03/07/23, 1458.67, 1458.67, 1458.67, 1458.67
03/06/23, 1452.68, 1452.68, 1452.68, 1452.68
03/03/23, 1453.55, 1453.55, 1453.55, 1453.55
03/02/23, 1455.49, 1455.49, 1455.49, 1455.49
03/01/23, 1450.20, 1450.20, 1450.20, 1450.20
02/28/23, 1454.19, 1454.19, 1454.19, 1454.19
02/27/23, 1455.50, 1455.50, 1455.50, 1455.50
02/24/23, 1456.80, 1456.80, 1456.80, 1456.80
