Date, Open, High, Low, Close
05/25/23, 3.805, 3.815, 3.795, 3.815
05/24/23, 3.785, 3.805, 3.785, 3.805
05/23/23, 3.765, 3.785, 3.765, 3.785
05/22/23, 3.775, 3.780, 3.760, 3.765
05/19/23, 3.725, 3.780, 3.725, 3.775
05/18/23, 3.700, 3.725, 3.700, 3.725
05/17/23, 3.670, 3.700, 3.670, 3.700
05/16/23, 3.665, 3.680, 3.665, 3.670
05/15/23, 3.670, 3.670, 3.660, 3.665
05/12/23, 3.715, 3.715, 3.665, 3.670
05/11/23, 3.740, 3.745, 3.710, 3.715
05/10/23, 3.720, 3.740, 3.715, 3.740
05/09/23, 3.725, 3.725, 3.710, 3.720
05/08/23, 3.740, 3.745, 3.725, 3.725
05/05/23, 3.760, 3.760, 3.740, 3.740
05/03/23, 3.755, 3.760, 3.735, 3.760
05/02/23, 3.745, 3.755, 3.740, 3.755
04/30/23, 3.745, 3.745, 3.745, 3.745
04/28/23, 3.750, 3.760, 3.745, 3.745
04/27/23, 3.755, 3.760, 3.740, 3.750
04/26/23, 3.790, 3.790, 3.750, 3.755
04/25/23, 3.855, 3.855, 3.790, 3.790
04/23/23, 3.855, 3.855, 3.855, 3.855
04/21/23, 3.855, 3.855, 3.855, 3.855
04/20/23, 3.895, 3.895, 3.855, 3.855
04/19/23, 3.895, 3.900, 3.890, 3.895
04/18/23, 3.870, 3.895, 3.870, 3.895
04/17/23, 3.855, 3.870, 3.850, 3.870
04/14/23, 3.855, 3.865, 3.850, 3.855
04/13/23, 3.880, 3.880, 3.855, 3.855
04/12/23, 3.880, 3.885, 3.880, 3.880
04/11/23, 3.885, 3.885, 3.870, 3.880
04/10/23, 3.880, 3.895, 3.880, 3.885
04/07/23, 3.880, 3.880, 3.875, 3.880
04/06/23, 3.910, 3.910, 3.880, 3.880
04/05/23, 3.920, 3.920, 3.905, 3.910
04/04/23, 3.935, 3.935, 3.915, 3.920
04/03/23, 3.915, 3.935, 3.915, 3.935
03/31/23, 3.930, 3.935, 3.910, 3.915
03/30/23, 3.920, 3.935, 3.920, 3.930
03/29/23, 3.900, 3.920, 3.900, 3.920
03/28/23, 3.895, 3.905, 3.895, 3.900
03/27/23, 3.910, 3.910, 3.890, 3.895
03/24/23, 3.925, 3.925, 3.900, 3.910
03/23/23, 3.950, 3.950, 3.925, 3.925
03/22/23, 3.945, 3.960, 3.940, 3.950
03/21/23, 3.945, 3.945, 3.940, 3.945
03/20/23, 3.950, 3.955, 3.945, 3.945
03/17/23, 3.925, 3.960, 3.925, 3.950
03/16/23, 3.905, 3.925, 3.905, 3.925
03/15/23, 3.875, 3.910, 3.875, 3.905
03/14/23, 3.930, 3.930, 3.875, 3.875
03/13/23, 3.980, 3.980, 3.920, 3.930
03/10/23, 4.040, 4.040, 3.980, 3.980
03/09/23, 4.060, 4.060, 4.040, 4.040
03/08/23, 4.060, 4.060, 4.050, 4.060
03/07/23, 4.065, 4.065, 4.050, 4.060
03/06/23, 4.060, 4.075, 4.060, 4.065
03/03/23, 3.970, 4.060, 3.970, 4.060
03/02/23, 3.935, 3.970, 3.935, 3.970
03/01/23, 3.940, 3.940, 3.930, 3.935
02/28/23, 3.955, 3.955, 3.940, 3.940
02/27/23, 3.930, 3.960, 3.930, 3.955
02/24/23, 3.930, 3.930, 3.920, 3.930
02/23/23, 3.920, 3.930, 3.920, 3.930
02/22/23, 3.900, 3.920, 3.900, 3.920
02/21/23, 3.900, 3.910, 3.900, 3.900
02/20/23, 3.905, 3.910, 3.900, 3.900
02/17/23, 3.910, 3.910, 3.900, 3.905
02/16/23, 3.910, 3.930, 3.910, 3.910
02/15/23, 3.890, 3.915, 3.890, 3.910
02/14/23, 3.890, 3.895, 3.880, 3.890
02/13/23, 3.840, 3.890, 3.840, 3.890
02/10/23, 3.820, 3.850, 3.820, 3.840
02/09/23, 3.820, 3.820, 3.800, 3.820
02/08/23, 3.820, 3.835, 3.820, 3.820
02/07/23, 3.790, 3.835, 3.790, 3.820
02/05/23, 3.790, 3.790, 3.790, 3.790
02/03/23, 3.800, 3.800, 3.780, 3.790
02/02/23, 3.815, 3.815, 3.800, 3.800
02/01/23, 3.815, 3.815, 3.815, 3.815
01/31/23, 3.790, 3.820, 3.790, 3.815
01/30/23, 3.780, 3.790, 3.770, 3.790
01/27/23, 3.765, 3.780, 3.765, 3.780
01/26/23, 3.750, 3.765, 3.745, 3.765
01/25/23, 3.745, 3.750, 3.745, 3.750
01/23/23, 3.745, 3.745, 3.745, 3.745
01/22/23, 3.745, 3.745, 3.745, 3.745
01/20/23, 3.790, 3.790, 3.730, 3.745
01/19/23, 3.955, 3.955, 3.790, 3.790
01/18/23, 3.985, 3.990, 3.955, 3.955
01/17/23, 3.980, 3.990, 3.980, 3.985
01/16/23, 3.960, 3.980, 3.960, 3.980
01/13/23, 3.980, 3.980, 3.950, 3.960
01/12/23, 3.980, 3.990, 3.975, 3.980
01/11/23, 3.970, 3.980, 3.960, 3.980
01/10/23, 3.980, 3.985, 3.960, 3.970
01/09/23, 4.045, 4.045, 3.980, 3.980
01/06/23, 4.020, 4.050, 4.020, 4.045
01/05/23, 4.020, 4.020, 4.010, 4.020
01/04/23, 4.030, 4.030, 4.020, 4.020
01/03/23, 4.095, 4.095, 4.020, 4.030
01/01/23, 4.095, 4.095, 4.095, 4.095
12/30/22, 4.110, 4.110, 4.095, 4.095
12/29/22, 4.115, 4.115, 4.105, 4.110
12/28/22, 4.080, 4.115, 4.080, 4.115
12/27/22, 4.060, 4.080, 4.060, 4.080
12/25/22, 4.060, 4.060, 4.060, 4.060
12/23/22, 4.060, 4.065, 4.050, 4.060
12/22/22, 4.070, 4.070, 4.055, 4.060
12/21/22, 4.060, 4.075, 4.060, 4.070
12/20/22, 4.015, 4.060, 4.015, 4.060
12/19/22, 4.025, 4.025, 4.015, 4.015
12/16/22, 4.070, 4.130, 4.020, 4.025
12/15/22, 4.120, 4.120, 4.070, 4.070
12/14/22, 4.125, 4.130, 4.115, 4.120
12/13/22, 4.105, 4.125, 4.105, 4.125
12/12/22, 4.085, 4.105, 4.085, 4.105
12/09/22, 4.075, 4.090, 4.075, 4.085
12/08/22, 4.075, 4.075, 4.070, 4.075
12/07/22, 4.070, 4.075, 4.060, 4.075
12/06/22, 4.060, 4.075, 4.060, 4.070
12/05/22, 4.045, 4.060, 4.045, 4.060
12/02/22, 4.085, 4.085, 4.045, 4.045
12/01/22, 4.125, 4.125, 4.075, 4.085
11/30/22, 4.135, 4.135, 4.125, 4.125
11/29/22, 4.150, 4.150, 4.130, 4.135
11/28/22, 4.150, 4.150, 4.150, 4.150
11/25/22, 4.200, 4.200, 4.150, 4.150
11/24/22, 4.360, 4.360, 4.200, 4.200
11/23/22, 4.395, 4.395, 4.360, 4.360
11/22/22, 4.400, 4.400, 4.390, 4.395
11/21/22, 4.320, 4.405, 4.310, 4.400
11/17/22, 4.335, 4.335, 4.315, 4.320
11/16/22, 4.390, 4.390, 4.330, 4.335
11/15/22, 4.420, 4.420, 4.390, 4.390
11/14/22, 4.435, 4.435, 4.420, 4.420
11/11/22, 4.505, 4.505, 4.435, 4.435
11/10/22, 4.515, 4.515, 4.500, 4.505
