Date, Open, High, Low, Close, Volume
05/26/23, 378.90, 391.70, 375.50, 389.46, 71439680
05/25/23, 385.23, 394.80, 366.35, 379.80, 154391109
05/24/23, 302.10, 306.07, 298.06, 305.38, 72141852
05/23/23, 310.00, 312.88, 306.31, 306.88, 35625328
05/22/23, 309.01, 315.20, 306.80, 311.76, 37199969
05/19/23, 315.36, 315.80, 309.16, 312.64, 47390770
05/18/23, 304.10, 318.28, 303.20, 316.78, 74872492
05/17/23, 295.84, 301.99, 294.3001, 301.78, 43253539
05/16/23, 288.41, 298.70, 288.32, 292.13, 44940488
05/15/23, 285.085, 289.69, 281.52, 289.53, 29392590
05/12/23, 285.29, 287.80, 280.46, 283.40, 27422230
05/11/23, 288.96, 289.50, 282.46, 285.78, 32214900
05/10/23, 290.05, 291.13, 284.6128, 288.85, 36935000
05/09/23, 288.99, 289.73, 284.50, 285.71, 31486949
05/08/23, 285.22, 292.20, 283.50, 291.51, 34497887
05/05/23, 278.255, 287.55, 277.31, 286.80, 36149406
05/04/23, 276.51, 278.59, 272.40, 275.62, 32185039
05/03/23, 278.40, 283.67, 274.72, 278.02, 38338738
05/02/23, 286.80, 288.3599, 280.83, 282.10, 40272961
05/01/23, 278.40, 290.5844, 277.80, 289.10, 57032848
04/28/23, 272.25, 277.58, 270.7148, 277.49, 29221609
04/27/23, 273.63, 274.95, 266.2501, 272.26, 37716121
04/26/23, 270.02, 273.30, 267.051, 269.56, 40633680
04/25/23, 270.78, 272.47, 262.25, 262.41, 37852719
04/24/23, 270.13, 273.6599, 266.7101, 270.42, 33928191
04/21/23, 269.52, 271.83, 267.22, 271.19, 34510281
04/20/23, 276.71, 280.30, 270.00, 271.04, 42771328
04/19/23, 273.61, 280.00, 272.32, 279.31, 35866039
04/18/23, 275.335, 281.10, 273.57, 276.67, 60481152
04/17/23, 265.655, 270.06, 264.3318, 270.02, 32147131
04/14/23, 265.04, 268.83, 262.20, 267.58, 39566008
04/13/23, 267.34, 268.869, 263.29, 264.63, 35361527
04/12/23, 273.70, 274.6799, 264.475, 264.95, 44625898
04/11/23, 277.235, 277.90, 271.26, 271.69, 31437820
04/10/23, 268.23, 276.2099, 266.69, 275.79, 39527859
04/06/23, 265.84, 270.80, 264.27, 270.37, 39765434
04/05/23, 268.29, 269.98, 263.95, 268.81, 51501473
04/04/23, 279.66, 280.00, 273.07, 274.53, 36859152
04/03/23, 275.09, 280.00, 273.36, 279.65, 39871559
03/31/23, 271.40, 278.3431, 271.05, 277.77, 43393281
03/30/23, 272.29, 274.99, 271.02, 273.83, 36451566
03/29/23, 268.25, 270.78, 265.97, 269.84, 39369391
03/28/23, 264.47, 265.13, 258.50, 264.10, 35610379
03/27/23, 268.37, 270.00, 263.65, 265.31, 36102566
03/24/23, 270.31, 271.67, 263.55, 267.79, 45541406
03/23/23, 271.155, 274.99, 266.90, 271.91, 56488879
03/22/23, 264.25, 275.89, 262.37, 264.68, 79729516
03/21/23, 261.80, 263.92, 253.81, 261.99, 54740781
03/20/23, 256.15, 260.24, 251.2983, 259.00, 43274719
03/17/23, 259.82, 263.99, 256.68, 257.25, 84854656
03/16/23, 240.27, 255.88, 238.94, 255.41, 58494633
03/15/23, 237.61, 242.86, 233.60, 242.28, 52448566
03/14/23, 234.96, 242.19, 234.60, 240.63, 47491008
03/13/23, 227.52, 232.98, 222.97, 229.66, 42189031
03/10/23, 234.09, 236.27, 227.26, 229.65, 47486566
03/09/23, 241.75, 244.54, 233.8284, 234.36, 50125699
03/08/23, 234.87, 242.00, 234.235, 241.81, 51357340
03/07/23, 236.00, 241.25, 232.41, 232.88, 51515391
03/06/23, 238.91, 242.48, 234.87, 235.54, 43742922
03/03/23, 233.20, 239.00, 231.30, 238.90, 41239328
03/02/23, 224.88, 233.804, 224.32, 233.14, 39007473
03/01/23, 231.92, 232.5557, 225.08, 226.98, 46002559
02/28/23, 233.72, 238.25, 232.06, 232.16, 45596281
02/27/23, 236.70, 238.7994, 234.54, 235.01, 45299367
02/24/23, 232.25, 234.74, 229.47, 232.86, 58971594
02/23/23, 234.40, 238.88, 230.25, 236.64, 111799508
02/22/23, 207.07, 211.04, 204.21, 207.54, 51318434
02/21/23, 210.00, 214.938, 206.18, 206.55, 41001461
02/17/23, 216.31, 217.40, 209.75, 213.88, 46588762
02/16/23, 221.33, 225.50, 219.268, 220.02, 41202633
02/15/23, 225.49, 228.55, 221.06, 227.64, 42118832
02/14/23, 215.78, 230.488, 213.66, 229.71, 67547352
02/13/23, 215.38, 220.48, 209.62, 217.88, 47491859
02/10/23, 216.90, 220.7764, 208.11, 212.65, 55073680
02/09/23, 226.06, 230.20, 221.20, 223.37, 52387578
02/08/23, 223.87, 228.78, 220.0801, 222.05, 55965121
02/07/23, 213.82, 222.59, 211.50, 221.73, 66414961
02/06/23, 208.06, 215.70, 207.86, 210.89, 45219711
02/03/23, 210.00, 217.4499, 207.89, 211.00, 42936602
02/02/23, 210.00, 219.49, 207.00, 217.09, 56427578
02/01/23, 196.91, 211.92, 196.11, 209.43, 66047703
01/31/23, 191.695, 196.87, 189.50, 195.37, 49801660
01/30/23, 199.50, 201.40, 191.50, 191.62, 48861121
01/27/23, 194.62, 206.28, 194.05, 203.65, 54214199
01/26/23, 197.01, 201.66, 192.78, 198.02, 48953539
01/25/23, 189.125, 193.70, 185.80, 193.23, 44953711
01/24/23, 188.27, 194.95, 188.20, 192.65, 49620406
01/23/23, 180.64, 192.45, 178.175, 191.93, 65516262
01/20/23, 170.11, 178.56, 168.25, 178.39, 56496711
01/19/23, 170.36, 171.97, 167.31, 167.65, 45293160
01/18/23, 176.67, 178.73, 172.82, 173.77, 43962359
01/17/23, 168.99, 177.28, 168.99, 177.02, 51110219
01/13/23, 162.78, 169.22, 161.65, 168.99, 44728711
01/12/23, 161.00, 166.37, 154.92, 165.11, 55140910
