Date, Open, High, Low, Close, Volume
05/24/23, 18.92, 18.92, 18.7311, 18.76, 1788375
05/23/23, 18.85, 18.932, 18.8087, 18.91, 1647345
05/22/23, 18.89, 18.945, 18.85, 18.87, 1824194
05/19/23, 18.77, 18.995, 18.735, 18.92, 2595344
05/18/23, 18.77, 18.785, 18.685, 18.73, 2339311
05/17/23, 19.00, 19.0099, 18.91, 18.98, 2257290
05/16/23, 19.22, 19.255, 19.01, 19.06, 2041799
05/15/23, 19.31, 19.3565, 19.274, 19.30, 2303483
05/12/23, 19.32, 19.36, 19.2294, 19.26, 3162461
05/11/23, 19.42, 19.4556, 19.255, 19.29, 4104472
05/10/23, 19.48, 19.54, 19.359, 19.44, 3732275
05/09/23, 19.38, 19.505, 19.38, 19.48, 2661803
05/08/23, 19.36, 19.43, 19.32, 19.35, 2065104
05/05/23, 19.23, 19.33, 19.145, 19.32, 3254991
05/04/23, 19.46, 19.72, 19.45, 19.63, 4421931
05/03/23, 19.33, 19.49, 19.26, 19.48, 3219337
05/02/23, 19.02, 19.3399, 19.015, 19.33, 2710909
05/01/23, 19.17, 19.19, 18.95, 18.95, 2456989
04/28/23, 19.04, 19.10, 18.9785, 19.05, 4920046
04/27/23, 18.95, 19.06, 18.90, 19.03, 1742750
04/26/23, 19.24, 19.24, 18.995, 19.03, 2149081
04/25/23, 19.05, 19.1815, 18.99, 19.14, 3684586
04/24/23, 18.97, 19.065, 18.90, 19.05, 3865825
04/21/23, 19.06, 19.13, 18.8799, 18.99, 4863460
04/20/23, 19.18, 19.2699, 19.1401, 19.17, 5934228
04/19/23, 19.00, 19.12, 18.99, 19.09, 4791425
04/18/23, 19.09, 19.2691, 19.07, 19.19, 5892291
04/17/23, 19.16, 19.16, 18.9699, 19.12, 4166010
04/14/23, 19.37, 19.42, 19.0786, 19.21, 3247210
04/13/23, 19.54, 19.615, 19.4716, 19.53, 3426289
04/12/23, 19.32, 19.33, 19.17, 19.28, 3014682
04/11/23, 19.14, 19.2151, 19.1296, 19.19, 3844731
04/10/23, 19.08, 19.0999, 18.9797, 19.08, 3355320
04/06/23, 19.26, 19.295, 19.155, 19.22, 2925802
04/05/23, 19.41, 19.45, 19.245, 19.35, 3912786
04/04/23, 19.02, 19.39, 19.02, 19.35, 4541486
04/03/23, 18.95, 19.06, 18.885, 19.01, 4674800
03/31/23, 18.97, 19.00, 18.834, 18.87, 1236982
03/30/23, 18.82, 19.00, 18.8099, 18.97, 2714528
03/29/23, 18.81, 18.88, 18.7786, 18.81, 1560124
03/28/23, 18.77, 18.9199, 18.76, 18.90, 2732341
03/27/23, 18.67, 18.7669, 18.6101, 18.74, 3479575
03/24/23, 19.12, 19.15, 18.914, 18.93, 1447038
03/23/23, 18.95, 19.186, 18.915, 19.13, 2330220
03/22/23, 18.58, 18.945, 18.57, 18.89, 4071434
03/21/23, 18.82, 18.82, 18.5301, 18.57, 2875645
03/20/23, 18.98, 19.01, 18.83, 18.94, 2465898
03/17/23, 18.65, 19.035, 18.62, 18.93, 2476072
03/16/23, 18.49, 18.505, 18.325, 18.39, 1871622
03/15/23, 18.43, 18.55, 18.2835, 18.36, 2835296
03/14/23, 18.26, 18.295, 18.16, 18.22, 2113073
03/13/23, 18.21, 18.34, 18.1639, 18.33, 2658358
03/10/23, 17.71, 17.91, 17.71, 17.91, 2499971
03/09/23, 17.48, 17.5799, 17.48, 17.54, 2548786
03/08/23, 17.37, 17.466, 17.36, 17.36, 2029109
03/07/23, 17.56, 17.56, 17.36, 17.36, 2565948
03/06/23, 17.74, 17.756, 17.67, 17.69, 1981952
03/03/23, 17.65, 17.78, 17.6152, 17.77, 2674532
03/02/23, 17.57, 17.6065, 17.5491, 17.58, 1710758
