Date, Open, High, Low, Close, Volume
05/24/23, 429.95, 432.73, 426.3789, 430.93, 1446950
05/23/23, 441.29, 444.20, 437.81, 438.78, 517757
05/22/23, 438.75, 445.44, 438.56, 444.27, 766550
05/19/23, 443.73, 444.74, 439.97, 442.74, 959229
05/18/23, 433.32, 446.11, 433.00, 445.03, 1143068
05/17/23, 424.85, 433.06, 422.19, 431.40, 661988
05/16/23, 420.42, 425.79, 420.42, 421.00, 682620
05/15/23, 411.81, 421.87, 410.60, 421.79, 599720
05/12/23, 412.49, 414.20, 406.77, 410.64, 461111
05/11/23, 413.85, 414.74, 407.12, 411.02, 618204
05/10/23, 414.16, 416.66, 409.73, 413.73, 922245
05/09/23, 410.73, 411.28, 407.89, 409.56, 783008
05/08/23, 414.44, 416.94, 411.00, 416.65, 455336
05/05/23, 406.37, 416.64, 404.32, 414.90, 539832
05/04/23, 404.93, 409.36, 402.23, 405.87, 700885
05/03/23, 410.58, 415.53, 407.86, 408.16, 841785
05/02/23, 416.03, 418.40, 408.87, 412.90, 705173
05/01/23, 413.79, 417.08, 412.71, 415.87, 601322
04/28/23, 406.72, 412.24, 404.92, 412.14, 786370
04/27/23, 402.62, 405.35, 394.59, 404.84, 1038939
04/26/23, 405.17, 407.27, 401.0816, 403.14, 642077
04/25/23, 412.46, 412.50, 400.74, 401.00, 827527
04/24/23, 416.06, 418.43, 412.14, 414.94, 691589
04/21/23, 418.44, 418.44, 413.14, 416.81, 719223
04/20/23, 416.07, 426.19, 415.65, 419.89, 797304
04/19/23, 419.29, 421.285, 417.705, 420.28, 421470
04/18/23, 426.40, 430.08, 421.71, 424.93, 921792
04/17/23, 418.55, 423.37, 417.29, 423.10, 735526
04/14/23, 423.36, 428.48, 418.49, 423.10, 654540
04/13/23, 421.25, 426.245, 417.88, 423.76, 1004495
04/12/23, 432.37, 432.50, 419.89, 420.30, 866311
04/11/23, 432.77, 433.07, 427.31, 428.13, 607743
04/10/23, 419.28, 430.69, 418.61, 430.39, 642412
04/06/23, 421.23, 426.04, 417.97, 422.92, 631582
04/05/23, 427.99, 428.35, 420.62, 425.11, 1114630
04/04/23, 441.63, 441.76, 430.19, 432.61, 774860
04/03/23, 442.07, 443.75, 435.38, 440.83, 625709
03/31/23, 438.57, 445.34, 437.86, 444.67, 717031
03/30/23, 440.28, 444.82, 438.8048, 441.93, 867459
03/29/23, 428.26, 437.80, 427.46, 434.77, 1046756
03/28/23, 423.43, 423.78, 414.8107, 421.23, 912740
03/27/23, 431.00, 432.32, 422.92, 424.41, 602077
03/24/23, 433.49, 434.67, 425.10, 429.45, 1041044
03/23/23, 432.83, 442.89, 429.40, 437.03, 1346644
03/22/23, 430.80, 442.25, 426.40, 426.51, 1104360
03/21/23, 433.44, 438.00, 424.40, 430.79, 966502
03/20/23, 426.27, 431.32, 422.75, 429.94, 718553
03/17/23, 428.91, 432.23, 423.12, 425.44, 942805
03/16/23, 410.20, 429.03, 408.41, 428.09, 1280719
03/15/23, 410.90, 412.942, 403.29, 412.00, 1175651
03/14/23, 412.08, 419.44, 410.12, 416.86, 914354
03/13/23, 400.67, 410.00, 396.48, 405.02, 1170910
03/10/23, 415.10, 416.1699, 402.98, 404.90, 1106933
03/09/23, 420.71, 427.23, 412.245, 412.88, 1296556
03/08/23, 411.99, 421.71, 411.99, 421.25, 696072
03/07/23, 415.15, 416.9022, 408.69, 410.34, 632950
03/06/23, 420.76, 424.38, 413.72, 414.71, 725720
03/03/23, 413.13, 420.05, 410.02, 419.59, 803126
03/02/23, 403.56, 415.19, 400.43, 413.22, 1036936
03/01/23, 411.34, 414.938, 408.32, 409.94, 640804
02/28/23, 407.48, 415.37, 406.60, 409.83, 527471
02/27/23, 413.07, 413.13, 408.28, 408.43, 680272
02/24/23, 406.35, 408.42, 403.23, 406.28, 947453
02/23/23, 414.00, 415.66, 405.5713, 413.69, 1539086
02/22/23, 403.39, 406.41, 398.10, 400.52, 761881
02/21/23, 409.451, 414.28, 401.67, 402.45, 736166
02/17/23, 420.00, 421.23, 412.15, 415.92, 1021544
02/16/23, 425.32, 429.78, 421.811, 422.50, 1148265
02/15/23, 426.87, 433.34, 423.72, 433.12, 715711
02/14/23, 419.93, 432.66, 416.78, 431.36, 1084005
